<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19950405,000000,1.32,1.3321,1.318,1.3273,0,0
EURUSD,D,19950406,000000,1.3273,1.3376,1.3251,1.3326,0,0
EURUSD,D,19950407,000000,1.3326,1.3389,1.3268,1.3347,0,0
EURUSD,D,19950410,000000,1.3347,1.335,1.3003,1.3003,0,0
EURUSD,D,19950411,000000,1.3085,1.3165,1.3037,1.3139,0,0
EURUSD,D,19950412,000000,1.3119,1.318,1.3085,1.3137,0,0
EURUSD,D,19950413,000000,1.3118,1.3295,1.3114,1.3288,0,0
EURUSD,D,19950414,000000,1.3288,1.3288,1.322,1.324,0,0
EURUSD,D,19950417,000000,1.3243,1.344,1.3243,1.3425,0,0
EURUSD,D,19950418,000000,1.3403,1.3452,1.335,1.34,0,0
EURUSD,D,19950419,000000,1.3509,1.3525,1.3275,1.3289,0,0
EURUSD,D,19950420,000000,1.3289,1.3355,1.316,1.3201,0,0
EURUSD,D,19950421,000000,1.3201,1.3307,1.3182,1.3307,0,0
EURUSD,D,19950424,000000,1.3397,1.3448,1.3289,1.329,0,0
EURUSD,D,19950425,000000,1.331,1.345,1.3275,1.3369,0,0
EURUSD,D,19950426,000000,1.3369,1.3405,1.3235,1.3368,0,0
EURUSD,D,19950427,000000,1.3349,1.3399,1.3295,1.3295,0,0
EURUSD,D,19950428,000000,1.3295,1.3334,1.3165,1.3246,0,0
EURUSD,D,19950501,000000,1.3203,1.3235,1.316,1.3204,0,0
EURUSD,D,19950502,000000,1.3209,1.3315,1.3194,1.3274,0,0
EURUSD,D,19950503,000000,1.3276,1.3345,1.327,1.3323,0,0
EURUSD,D,19950504,000000,1.3323,1.3385,1.329,1.3337,0,0
EURUSD,D,19950505,000000,1.3334,1.3378,1.3285,1.3305,0,0
EURUSD,D,19950508,000000,1.3319,1.344,1.3319,1.3396,0,0
EURUSD,D,19950509,000000,1.3422,1.3423,1.3285,1.3294,0,0
EURUSD,D,19950510,000000,1.332,1.3341,1.321,1.3249,0,0
EURUSD,D,19950511,000000,1.3261,1.3262,1.2984,1.2984,0,0
EURUSD,D,19950512,000000,1.2895,1.2895,1.2734,1.2806,0,0
EURUSD,D,19950515,000000,1.277,1.2916,1.2754,1.2899,0,0
EURUSD,D,19950516,000000,1.2904,1.2945,1.2754,1.2835,0,0
EURUSD,D,19950517,000000,1.2833,1.2918,1.2761,1.2795,0,0
EURUSD,D,19950518,000000,1.2789,1.2817,1.265,1.2705,0,0
EURUSD,D,19950519,000000,1.2705,1.2878,1.2705,1.28,0,0
EURUSD,D,19950522,000000,1.28,1.285,1.2723,1.2813,0,0
EURUSD,D,19950523,000000,1.28,1.2843,1.2717,1.274,0,0
EURUSD,D,19950524,000000,1.274,1.2828,1.2727,1.2813,0,0
EURUSD,D,19950525,000000,1.281,1.318,1.281,1.3159,0,0
EURUSD,D,19950526,000000,1.3148,1.337,1.3132,1.336,0,0
EURUSD,D,19950529,000000,1.3347,1.3347,1.3256,1.3256,0,0
EURUSD,D,19950530,000000,1.3302,1.3305,1.3215,1.322,0,0
EURUSD,D,19950531,000000,1.322,1.3317,1.3018,1.3045,0,0
EURUSD,D,19950601,000000,1.3067,1.315,1.2906,1.315,0,0
EURUSD,D,19950602,000000,1.314,1.3235,1.3015,1.3015,0,0
EURUSD,D,19950605,000000,1.3015,1.319,1.3015,1.3115,0,0
EURUSD,D,19950606,000000,1.3125,1.3135,1.3043,1.3108,0,0
EURUSD,D,19950607,000000,1.3108,1.3156,1.3093,1.3095,0,0
EURUSD,D,19950608,000000,1.3095,1.3135,1.3007,1.3123,0,0
EURUSD,D,19950609,000000,1.3123,1.3198,1.3105,1.3137,0,0
EURUSD,D,19950612,000000,1.3147,1.3188,1.3111,1.3148,0,0
EURUSD,D,19950613,000000,1.318,1.3213,1.31,1.3109,0,0
EURUSD,D,19950614,000000,1.3109,1.3232,1.3084,1.3195,0,0
EURUSD,D,19950615,000000,1.321,1.324,1.3084,1.3145,0,0
EURUSD,D,19950616,000000,1.3145,1.3215,1.312,1.3191,0,0
EURUSD,D,19950619,000000,1.3191,1.3235,1.3145,1.3212,0,0
EURUSD,D,19950620,000000,1.3215,1.3277,1.3193,1.3269,0,0
EURUSD,D,19950621,000000,1.3285,1.3285,1.3228,1.3279,0,0
EURUSD,D,19950622,000000,1.3279,1.3355,1.3182,1.3201,0,0
EURUSD,D,19950623,000000,1.3201,1.3317,1.3193,1.331,0,0
EURUSD,D,19950626,000000,1.331,1.3316,1.3204,1.3241,0,0
EURUSD,D,19950627,000000,1.3257,1.331,1.3254,1.3259,0,0
EURUSD,D,19950628,000000,1.3259,1.332,1.3128,1.3183,0,0
EURUSD,D,19950629,000000,1.3188,1.3354,1.3174,1.3348,0,0
EURUSD,D,19950630,000000,1.3329,1.3329,1.3264,1.3316,0,0
EURUSD,D,19950703,000000,1.3316,1.3373,1.3304,1.3335,0,0
EURUSD,D,19950704,000000,1.3335,1.3361,1.3323,1.3323,0,0
EURUSD,D,19950705,000000,1.3329,1.337,1.3302,1.3365,0,0
EURUSD,D,19950706,000000,1.3355,1.3377,1.332,1.3377,0,0
EURUSD,D,19950707,000000,1.3348,1.3354,1.3212,1.3281,0,0
EURUSD,D,19950710,000000,1.3281,1.3305,1.323,1.327,0,0
EURUSD,D,19950711,000000,1.3265,1.3269,1.3175,1.3177,0,0
EURUSD,D,19950712,000000,1.3185,1.324,1.3174,1.3211,0,0
EURUSD,D,19950713,000000,1.32,1.3342,1.3122,1.3313,0,0
EURUSD,D,19950714,000000,1.3313,1.3341,1.3262,1.33,0,0
EURUSD,D,19950717,000000,1.3282,1.3292,1.324,1.326,0,0
EURUSD,D,19950718,000000,1.3268,1.3366,1.3257,1.3325,0,0
EURUSD,D,19950719,000000,1.3314,1.346,1.3312,1.3435,0,0
EURUSD,D,19950720,000000,1.3426,1.344,1.3345,1.3374,0,0
EURUSD,D,19950721,000000,1.3374,1.3383,1.3324,1.3358,0,0
EURUSD,D,19950724,000000,1.3335,1.34,1.3335,1.3365,0,0
EURUSD,D,19950725,000000,1.336,1.3389,1.3288,1.3294,0,0
EURUSD,D,19950726,000000,1.3303,1.342,1.3294,1.3384,0,0
EURUSD,D,19950727,000000,1.3384,1.3445,1.3378,1.3445,0,0
EURUSD,D,19950728,000000,1.3428,1.3495,1.338,1.3441,0,0
EURUSD,D,19950731,000000,1.3434,1.3478,1.3391,1.34,0,0
EURUSD,D,19950801,000000,1.34,1.352,1.3394,1.3495,0,0
EURUSD,D,19950802,000000,1.348,1.348,1.3255,1.3317,0,0
EURUSD,D,19950803,000000,1.3317,1.3415,1.3316,1.3387,0,0
EURUSD,D,19950804,000000,1.3368,1.3375,1.33,1.3331,0,0
EURUSD,D,19950807,000000,1.3331,1.3356,1.3209,1.3213,0,0
EURUSD,D,19950808,000000,1.3213,1.3246,1.3187,1.3218,0,0
EURUSD,D,19950809,000000,1.3231,1.325,1.3204,1.3236,0,0
EURUSD,D,19950810,000000,1.3242,1.3242,1.3095,1.3137,0,0
EURUSD,D,19950811,000000,1.3137,1.3137,1.3005,1.3005,0,0
EURUSD,D,19950814,000000,1.2988,1.3083,1.297,1.3025,0,0
EURUSD,D,19950815,000000,1.3025,1.3042,1.2685,1.2715,0,0
EURUSD,D,19950816,000000,1.2715,1.2769,1.2627,1.2725,0,0
EURUSD,D,19950817,000000,1.2716,1.2745,1.2624,1.2721,0,0
EURUSD,D,19950818,000000,1.2713,1.2769,1.2652,1.2735,0,0
EURUSD,D,19950821,000000,1.2735,1.2744,1.2689,1.2706,0,0
EURUSD,D,19950822,000000,1.2679,1.2703,1.2605,1.2631,0,0
EURUSD,D,19950823,000000,1.2631,1.2709,1.2599,1.2665,0,0
EURUSD,D,19950824,000000,1.2665,1.2742,1.257,1.271,0,0
EURUSD,D,19950825,000000,1.2688,1.273,1.2658,1.2695,0,0
EURUSD,D,19950828,000000,1.2745,1.2833,1.274,1.2785,0,0
EURUSD,D,19950829,000000,1.2785,1.2785,1.265,1.2662,0,0
EURUSD,D,19950830,000000,1.2672,1.2709,1.2646,1.2705,0,0
EURUSD,D,19950831,000000,1.2705,1.2794,1.2672,1.2741,0,0
EURUSD,D,19950901,000000,1.2775,1.2786,1.2703,1.276,0,0
EURUSD,D,19950904,000000,1.2784,1.2819,1.2748,1.277,0,0
EURUSD,D,19950905,000000,1.277,1.279,1.2725,1.2785,0,0
