,time,low,high,open,close,volume
36,1609300800,27700.0,28176.56,28046.0,27900.02,1196.82071018
37,1609297200,27797.9,28200.0,27986.55,28030.91,1695.19087565
38,1609293600,27481.74,27995.0,27593.31,27986.54,1143.42399327
39,1609290000,27511.06,27699.0,27612.08,27593.3,782.08233124
40,1609286400,27366.34,27820.0,27366.35,27605.86,1865.55287311
41,1609282800,26925.0,27396.77,27029.13,27366.35,942.31300307
42,1609279200,26900.0,27113.4,26904.2,27029.13,674.8268683
43,1609275600,26805.0,27189.0,26975.4,26901.58,1300.55962666
44,1609272000,26764.34,26986.14,26917.9,26975.4,939.98334945
45,1609268400,26519.99,26919.84,26575.52,26919.66,1012.78783256
46,1609264800,26563.49,26741.78,26609.13,26574.06,870.31230953
47,1609261200,26223.57,26612.61,26401.28,26605.38,1134.53835381
48,1609257600,26206.25,26586.96,26583.38,26403.98,1147.29132924
49,1609254000,26410.52,26716.61,26639.1,26583.39,916.67889861
50,1609250400,26568.76,26878.14,26862.71,26638.65,986.62514966
51,1609246800,26718.98,26950.0,26861.18,26862.7,751.20961542
52,1609243200,26810.03,27065.88,26846.76,26860.87,910.07952217
53,1609239600,26544.61,26874.12,26706.41,26851.2,648.8983882
54,1609236000,26563.0,26824.68,26563.04,26706.42,490.52325793
55,1609232400,26503.32,26710.23,26618.95,26565.79,474.50791601
56,1609228800,26373.74,26725.31,26373.75,26609.21,598.43237498
57,1609225200,26107.0,26415.52,26317.39,26373.75,531.65629869
58,1609221600,26215.31,26484.37,26406.04,26318.66,531.81853206
59,1609218000,25833.73,26448.57,26448.57,26407.17,1529.11072733
60,1609214400,26166.0,26539.98,26408.81,26439.24,1186.48773173
61,1609210800,26400.0,26830.06,26830.01,26409.04,1022.66540392
62,1609207200,26696.38,26916.13,26787.81,26830.01,451.51895834
63,1609203600,26616.24,26816.75,26775.68,26797.43,737.60761528
64,1609200000,26727.78,27073.02,27039.39,26780.07,877.67127503
65,1609196400,26794.68,27113.83,26856.05,27040.36,1154.69684426
66,1609192800,26400.0,26895.46,26586.62,26856.05,1288.56601363
67,1609189200,26585.0,26920.93,26826.84,26588.26,719.70886329
68,1609185600,26645.01,27073.32,26965.92,26826.84,1358.90660978
69,1609182000,26914.86,27150.0,26983.03,26965.92,679.06404273
70,1609178400,26880.93,27200.0,27115.67,26982.81,862.90788271
71,1609174800,27002.76,27200.0,27030.27,27114.27,792.64117305
72,1609171200,26708.43,27141.45,26880.9,27030.27,1018.70143626
73,1609167600,26775.94,27295.67,27251.85,26883.52,1587.73653799
74,1609164000,27103.49,27342.99,27227.1,27249.18,1061.39516632
75,1609160400,27067.21,27477.0,27067.21,27227.1,1076.47112556
76,1609156800,26677.71,27096.22,26817.33,27067.21,643.33727682
77,1609153200,26579.71,26848.75,26677.88,26817.34,448.58034916
78,1609149600,26521.41,26886.09,26794.85,26682.78,545.30985332
79,1609146000,26715.41,26958.41,26903.31,26794.16,259.63801255
80,1609142400,26678.45,27041.86,26972.38,26905.0,508.55137001
81,1609138800,26972.68,27178.59,27032.37,26972.68,892.20731811
82,1609135200,26845.0,27079.77,26925.88,27039.99,541.23745707
83,1609131600,26800.0,27135.0,26843.75,26927.17,487.50362592
84,1609128000,26820.0,27297.0,27265.66,26846.52,825.43176691
85,1609124400,26900.5,27272.84,27066.07,27269.36,821.40181626
86,1609120800,26881.99,27137.31,27042.66,27066.33,855.32347921
87,1609117200,26774.69,27339.99,26845.45,27032.69,1418.37430786
88,1609113600,26086.19,26955.44,26255.16,26845.64,1418.01702094
89,1609110000,26205.11,26677.72,26493.96,26258.65,1276.38185369
90,1609106400,26255.0,26637.69,26390.97,26493.96,950.25761812
91,1609102800,25772.55,26444.65,26184.83,26388.94,2844.36442243
92,1609099200,26134.79,27070.0,27058.39,26194.55,1839.56535711
93,1609095600,26951.01,27274.0,27024.2,27058.39,804.29465546
94,1609092000,26526.0,27025.0,26767.36,27024.07,1223.29475663
95,1609088400,26636.12,27056.81,27056.81,26767.36,1186.85176376
96,1609084800,26580.0,27446.7,27347.7,27051.87,2693.20303375
97,1609081200,27000.0,27459.67,27309.24,27347.69,1489.41402411
98,1609077600,27220.33,27749.51,27490.85,27307.34,1564.49125579
99,1609074000,27032.84,27550.0,27202.41,27495.48,1139.20603384
100,1609070400,26362.67,27623.19,27623.19,27189.51,2359.82878026
101,1609066800,26809.76,28387.0,27803.51,27612.27,2587.05855359
102,1609063200,27666.96,27869.5,27790.0,27803.47,382.47235521
103,1609059600,27201.23,27825.02,27445.37,27792.72,927.87787713
104,1609056000,27348.0,27922.0,27608.96,27441.45,1086.90745426
105,1609052400,27430.41,27794.64,27607.4,27608.96,971.50282849
106,1609048800,26870.83,27711.0,26879.0,27613.26,2569.71634882
107,1609045200,26691.93,26928.0,26731.51,26879.01,515.12086503
108,1609041600,26553.89,26810.0,26555.48,26730.88,607.49995204
109,1609038000,26435.85,26648.66,26571.85,26555.25,705.26398254
110,1609034400,26500.0,26861.29,26624.97,26571.84,1064.05626881
111,1609030800,26523.86,26950.0,26739.53,26632.55,1592.91940759
112,1609027200,26475.92,26855.0,26482.64,26740.47,1245.45801051
113,1609023600,26348.16,26662.61,26391.17,26475.35,962.90105532
114,1609020000,26055.0,26783.99,26685.25,26391.16,2194.61765094
115,1609016400,26323.22,26822.0,26402.74,26691.24,2801.13192636
116,1609012800,25811.59,26471.0,25938.67,26402.75,2061.37977372
117,1609009200,25581.01,25973.67,25616.41,25938.67,1036.32800744
118,1609005600,25575.06,25850.0,25778.62,25617.83,780.29329814
119,1609002000,25651.88,25990.0,25850.0,25778.6,1531.44041762
120,1608998400,25563.92,25918.87,25621.2,25849.07,2705.46490014
121,1608994800,25319.43,25673.4,25367.26,25621.27,1611.99127678
122,1608991200,24863.93,25423.95,24934.37,25367.17,2077.34084306
123,1608987600,24789.98,24973.98,24882.07,24932.02,371.86006502
124,1608984000,24734.07,24925.27,24822.2,24881.59,312.34815251
125,1608980400,24700.01,24868.03,24725.28,24827.53,268.58176794
126,1608976800,24541.98,24890.95,24853.42,24726.77,435.18502304
127,1608973200,24726.0,24901.31,24897.01,24853.43,275.42392676
128,1608969600,24756.96,24980.0,24783.23,24899.89,243.71730211
129,1608966000,24717.0,24933.89,24831.32,24784.55,275.88869781
130,1608962400,24655.01,24863.65,24704.18,24826.91,226.74842598
131,1608958800,24656.07,24842.11,24807.11,24705.29,474.49232705
132,1608955200,24750.0,24923.93,24893.03,24808.46,659.33564321
133,1608951600,24820.94,25000.0,24832.71,24893.03,1202.20619085
134,1608948000,24764.32,24967.38,24895.46,24832.71,969.94042088
135,1608944400,24490.01,24900.0,24595.01,24895.46,732.31337582
136,1608940800,24515.0,24770.3,24704.71,24600.0,571.50968748
137,1608937200,24515.0,24770.95,24572.16,24704.71,835.51211215
138,1608933600,24359.72,24624.8,24411.04,24574.99,640.67386579
139,1608930000,24209.01,24446.02,24446.02,24413.58,584.86577642
140,1608926400,24344.62,24480.44,24440.0,24446.01,409.52363511
141,1608922800,24300.43,24533.07,24360.0,24440.0,474.37339304
142,1608919200,24141.69,24418.42,24181.3,24358.41,513.45768343
143,1608915600,24000.0,24250.0,24083.6,24186.68,554.73336104
144,1608912000,24011.0,24294.99,24019.58,24089.67,616.13951071
145,1608908400,23950.69,24226.13,24035.87,24019.59,723.50831632
146,1608904800,23803.69,24519.85,24499.35,24032.58,1324.34424701
147,1608901200,24303.02,24541.24,24330.51,24497.11,779.04195877
148,1608897600,24322.49,24623.26,24545.54,24334.41,981.82783769
149,1608894000,23895.7,24660.0,23969.4,24545.52,2065.96045895
150,1608890400,23736.73,24011.05,23920.13,23969.41,945.63276152
151,1608886800,23648.0,23962.23,23674.15,23920.13,634.83893927
152,1608883200,23592.12,23867.81,23642.95,23670.44,515.64314068
153,1608879600,23509.94,23669.92,23617.13,23639.13,710.79278374
154,1608876000,23541.28,23669.85,23593.0,23617.7,182.33605554
155,1608872400,23523.88,23634.55,23595.16,23593.01,190.58473889
156,1608868800,23438.0,23599.53,23463.93,23596.38,230.12579308
157,1608865200,23416.0,23541.18,23440.01,23465.79,290.51864009
158,1608861600,23440.75,23605.24,23592.69,23446.56,746.90447154
159,1608858000,23540.31,23641.65,23612.79,23589.62,226.13841477
160,1608854400,23555.04,23805.0,23718.61,23620.5,614.9979389
161,1608850800,23607.0,23785.0,23708.24,23717.96,880.11839787
162,1608847200,23384.84,23740.0,23409.71,23704.86,609.81093864
163,1608843600,23373.99,23561.89,23523.47,23409.45,552.86856496
