,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
17,BAND-USD,BAND,USD,0.10000000,18000.00000000,0.00010000,0.01000000,BAND/USD,1.0,100000,False,False,False,False,False,online,
18,FIL-GBP,FIL,GBP,0.01000000,3400.00000000,0.00010000,0.00100000,FIL/GBP,1.0,75000,False,False,False,False,False,online,
19,COMP-BTC,COMP,BTC,0.01000000,1700.00000000,0.00000100,0.00100000,COMP/BTC,0.0001,10,False,False,False,False,False,online,
20,ALGO-BTC,ALGO,BTC,1.00000000,260000.00000000,0.00000001,1.00000000,ALGO/BTC,0.0001,6.0,False,False,False,False,False,online,
21,SNX-EUR,SNX,EUR,0.10000000,19000.00000000,0.00010000,0.00100000,SNX/EUR,1.0,92000,False,False,False,False,False,online,
22,GRT-USD,GRT,USD,10.00000000,2500000.00000000,0.00010000,0.01000000,GRT/USD,10.0,2500000,False,False,False,False,False,online,
23,LTC-USD,LTC,USD,0.10000000,4000.00000000,0.01000000,0.00000001,LTC/USD,10,250000,False,False,False,False,False,online,
24,ETC-BTC,ETC,BTC,0.10000000,5000.00000000,0.00000100,0.00000001,ETC/BTC,0.001,30,False,False,False,False,False,online,
25,KNC-USD,KNC,USD,1.00000000,500000.00000000,0.00010000,0.10000000,KNC/USD,1,100000,False,False,False,False,False,online,
26,ALGO-EUR,ALGO,EUR,1.00000000,500000.00000000,0.00010000,1.00000000,ALGO/EUR,10,100000,False,False,False,False,False,online,
27,CGLD-USD,CGLD,USD,0.10000000,34000.00000000,0.00010000,0.01000000,CGLD/USD,1.0,100000,False,False,False,False,False,online,
28,REN-BTC,REN,BTC,1.00000000,460000.00000000,0.00000001,1.00000000,REN/BTC,0.0001,10,False,False,False,False,False,online,
29,BCH-EUR,BCH,EUR,0.01000000,100.00000000,0.01000000,0.00000001,BCH/EUR,10,300000,False,False,False,False,False,online,
30,GRT-EUR,GRT,EUR,10.00000000,2500000.00000000,0.00010000,0.01000000,GRT/EUR,10.0,92000,False,False,False,False,False,online,
